user_id,movie_id,rating,mhat_dp_false,mhat_dp_true
1,3,4,4.19,4
1,9,1,1.2,1.01
1,16,3,2.88,2.69
1,65,3,3.7,3.71
1,77,2,2.18,2.14
1,91,5,3.89,3.7
1,96,3,2.41,2.22
2,9,2,2.06,2.07
2,21,5,3.46,3.26
2,38,2,2.33,2.34
2,51,5,4.36,4.17
2,67,3,2.68,2.49
2,76,3,3.48,3.29
2,80,4,3.58,3.59
2,85,4,3.89,3.86
2,89,2,1.83,1.83
2,95,4,3.05,2.86
3,24,5,4.52,4.33
3,29,2,2.2,2.01
3,36,4,3.96,3.77
3,45,4,4.32,4.13
3,55,4,3.96,3.97
3,60,4,3.81,3.82
3,78,3,2.53,2.49
3,81,4,2.03,2
4,1,4,4.14,3.95
4,9,3,3.35,3.16
4,30,3,3.06,2.86
4,34,5,4.47,4.47
4,49,3,2.81,2.88
5,2,4,3.49,3.49
5,12,4,3.74,3.55
5,20,3,0,-0.19
5,24,5,3.98,3.94
5,35,5,4.26,4.34
5,50,3,2.63,2.64
5,95,5,3.95,3.96
6,5,5,4.23,4.36
6,8,4,3.23,3.03
6,22,3,3.17,2.98
6,34,4,4.27,4.08
6,71,3,2.77,2.77
6,77,5,4.59,4.4
6,83,4,3.53,3.34
7,17,5,4.4,4.21
7,25,4,4.31,4.44
7,30,2,1.98,1.99
7,67,5,4.24,4.19
7,79,4,3.73,3.54
7,83,3,3.09,2.9
7,87,5,4.41,4.22
7,100,2,1.95,1.76
8,7,5,4.43,4.24
8,11,2,1.76,1.77
8,26,4,3.86,3.66
8,38,5,3.85,3.86
8,65,4,3.42,3.39
8,71,2,1.8,1.8
8,96,4,4.27,4.28
9,1,1,1.26,1.07
9,37,4,3.95,3.89
9,41,1,1.55,1.36
9,51,1,1.15,1.22
9,58,5,3.92,3.73
9,96,4,3.65,3.65
10,31,1,1,0.81
10,36,3,3.13,3.26
10,43,2,2.02,1.82
10,48,4,4.28,4.09
10,67,4,3.57,3.58
10,78,4,4.14,3.94
10,88,4,4.3,4.11
